,pubmed,abstract
0,38088114,"aim      to study global aortic circumferential strain in normal conditions and in atherosclerosis of various grades and to determine its role in prediction of structural and functional disorders of the thoracic aorta (ta) and coronary atherosclerosis using 2d speckle-tracking transesophageal echocardiography.material and methods  182 patients with typical or probable angina were examined. the control group consisted of 11 healthy volunteers. ta was visualized along its entire length. the height of each atheroma was measured, and the total number of plaques in the ta was determined. five stages of ta atherosclerosis were identified. in the descending ta, the global peak systolic circumferential strain (gcs, %) and the global peak systolic circumferential strain normalized to pulse arterial pressure (pap) (gcs / pap∙100) were calculated. all patients underwent coronary angiography. the number of coronary arteries (cas) with &gt;50 % stenosis was determined, and the syntax score was calculated.results ta atherosclerosis was not detected in the control group. among 182 patients, stage 1-5 ta atherosclerosis was found in 23 (12.6 %), 103 (56.6 %), 43 (23.6 %), 7 (3.8 %), and 6 (3.4 %) cases respectively. gcs and gcs / pad decreased as the ultrasound stage of ta atherosclerosis increased as compared with the control group: 9.2 % and 15.3 for the control group; stage 1, 5.6 % and 8.9 (p&lt;0.001); stage 2, 4.1 % and 5.9 (p&lt;0.001); stage 3, 4 % and 5.8 (p&lt;0.001); stage 4, 3.7 % and 4.9 (p&lt;0.01); and stage 5, 2.6 % and 3.3 (p&lt;0.01), respectively. roc analysis showed that gcs ≥5.9 % (area under the curve, auc, 0.94±0.03; p&lt;0.001) and gcs / pad ≥11.4 (auc, 0.97±0.02; p &lt;0.001) were predictors of intact ta. also, gcs ≤4.85 % (auc, 0.82±0.04; p&lt;0.001) and gcs / pad ≤8.06 (auc, 0.87±0.03; p&lt;0.001) were predictors of hemodynamically significant ta atherosclerosis (stages 3-5). gcs ≤4.05 % (auc, 0.62±0.04; p=0.007) and gcs / pad ≤5.95 (auc, 0.61±0.04; p=0.018) were predictors of hemodynamically significant (&gt;50 %) stenosing atherosclerosis of at least one ca. furthermore, gcs ≤3.75 % (auc, 0.67±0.07; p=0.039) and gcs / pad ≤5.15 (auc, 0.64±0.07; p=0.045) were predictors of severe and advanced coronary atherosclerosis (syntax score ≥22).conclusion      gcs and gcs / pad are new diagnostic markers of structural and functional disorders of ta in atherosclerosis of various grades. gcs and gcs / pad are independent predictors of high-grade ta atherosclerosis (stages 3-5) with gcs / pad demonstrating the highest level of significance. gcs and gcs / pad are non-invasive predictors of severe and advanced ca atherosclerosis."
1,38088108,"aim    to study the relationship of blood serum concentration of endocan with indexes of apoptosis and clinical and instrumental characteristics of patients with ischemic heart disease (ihd).material and methods    the study included 176 subjects (105 men and 71 women). 150 of them were diagnosed with ihd and 26 were healthy volunteers. anthropometric measurements, coronary angiography, echocardiography, duplex ultrasound scanning of extracranial parts of the brachiocephalic arteries were performed for all patients. concentrations of endocan (ng / ml), glucose (mmol / l), and apoptotic markers bcl-2 (ng / ml), bax (ng / ml), bcl-2 / bax, trail (pg / ml), and p53 (ng / ml) were measured in blood serum. patients were divided into groups based on their syntax scores: group 1 with moderate atherosclerotic lesions of the coronary arteries (ca) (score &lt; 22, 78 patients); group 2 with severe ca atherosclerosis (score 23-32, 37 patients); and group 3 with extremely severe ca lesions (score &gt;33, 35 patients). the control group consisted of healthy volunteers (26 subjects). all groups were age- and sex-matched. differences were considered statistically significant at p&lt;0.05.results    a correlation was found between endocan concentration and ihd severity (r=0.32, p&lt;0.001). in group 1, the median endocan concentration was 14.57 ng / ml [8.21; 23.66], in group 2, 19.34 ng / ml [8.425; 26.645], in group 3, 32.13 ng / ml [18.2; 39.12], and in the control group, 6.92 ng / ml [4.62; 9.18]. correlations of varying strength and significance were observed between the endocan concentration and a number of clinical and instrumental characteristics. endocan concentrations significantly differed in groups of patients with multifocal atherosclerosis (p&lt;0.01), angina pectoris (p&lt;0.01), a history of myocardial infarction (p&lt;0.001), and obesity (p&lt;0.05) from patients without these signs. also, a correlation was found between serum endocan concentration and apoptotic markers: trail (r= -0.448, p&lt;0.001); bcl-2 (r= -0.552, p&lt;0.001), bax (r= -0.519, p&lt;0.001), bcl-2 / bax (r= -0.576, p&lt;0.001) and p53 (r= -0.520, p &lt;0.001).conclusion    the study demonstrated a potential role of endocan as a promising biomarker for risk stratification, prognosis and therapeutic monitoring of ihd patients."
2,38086910,"myocardial infarction with nonobstructive coronary arteries (minoca) has several possible underlying causes, including coronary microvascular dysfunction (cmd). early cardiovascular magnetic resonance imaging (cmr) is recommended, however cannot provide a diagnosis in 25% of cases. quantitative stress cmr perfusion mapping can identify cmd, however it is unknown if cmd is present during long-term follow-up of minoca patients. therefore, this study aimed to evaluate presence of cmd during long-term follow-up in minoca patients with an initial normal cmr scan. minoca patients from the second stockholm myocardial infarction with normal coronaries study (sminc-2), with a normal cmr scan at median 3 days after hospitalization were investigated with comprehensive cmr including stress perfusion mapping a median of 5 years after the index event, together with age- and sex-matched volunteers without symptomatic ischemic heart disease. cardiovascular risk factors, medication and symptoms of myocardial ischemia measured by the seattle angina questionnaire 7 (saq-7), were registered. in total, 15 patients with minoca and an initial normal cmr scan (59 ± 7 years old, 60% female), and 15 age- and sex-matched volunteers, underwent cmr. patients with minoca and an initial normal cmr scan had lower global stress perfusion compared to volunteers (2.83 ± 1.8 vs 3.53 ± 0.7 ml/min/g, p = 0.02). there were no differences in other cmr parameters, hemodynamic parameters, or cardiovascular risk factors, except for more frequent use of statins in the minoca patient group compared to volunteers. in conclusion, global stress perfusion is lower in minoca patients during follow-up, compared to age- and sex-matched volunteers, suggesting that cmd may be a possible pathophysiological mechanism in minoca.clinical trial registration: clinicaltrials.gov identifier nct02318498. registered 2014-12-17."
3,38085249,"unhealthy lifestyle and diet may contribute to the development of cardiovascular disease (cvd), but limited evidence exists regarding the association between sleep patterns, oxidative stress-related exposures to diet and lifestyle, and cvd risk."
4,38084894,"coronary computed tomography angiography (cta) imaging is used to diagnose patients with suspected coronary artery disease (cad). a novel artificial-intelligence-guided quantitative computed tomography ischemia algorithm (ai-qctischemia) aims to identify myocardial ischemia directly from cta images and may be helpful to improve risk stratification. the aims were 1) the prognostic value of ai-qctischemia among symptomatic patients with suspected cad entering diagnostic imaging with coronary cta, and 2) the prognostic value of ai-qctischemia separately among patients with no/non-obstructive cad (≤50% visual diameter stenosis) and obstructive cad (>50% visual diameter stenosis)."
5,38083918,"to find out the prevalence of cyp2c19*2 genetic polymorphism in ischaemic heart disease patients, and to determine its relation with clopidogrel resistance in different genotype groups."
6,38083801,"this study examines how long covid, chronic conditions, and work outcomes affect the general workforce."
7,38083048,"revascularization of chronic total occlusions (cto) is currently one of the most complex procedures in percutaneous coronary intervention (pci), requiring the use of specific devices and a high level of experience to obtain good results. once the clinical indication for extensive ischemia or angina uncontrolled with medical treatment has been established, the decision to perform coronary intervention is not simple, since this procedure has a higher rate of complications than non-pci percutaneous intervention, higher ionizing radiation doses and a lower success rate. however, cto revascularization has been shown to be helpful in symptomatic improvement of angina, reduction of ischemic burden, or improvement of ejection fraction. the aim of this work is to determine whether a model developed using deep learning techniques, and trained with angiography images, can better predict the likelihood of a successful revascularization procedure for a patient with a chronic total occlusion (cto) lesion in their coronary artery (measured as procedure success and the duration of time during which x-ray imaging technology is used to perform a medical procedure) than the scales traditionally used. as a preliminary approach, patients with right coronary artery cto will be included since they present standard angiographic projections that are performed in all patients and present less technical variability (duration, projection angle, image similarity) among them.the ultimate objective is to develop a predictive model to help the clinician in the decision to intervene and to analyze the performance in terms of predicting the success of the technique for the revascularization of chronic occlusions.clinical relevance- the development of a deep learning model based on the angiography images could potentially overcome the gold standard and help interventional cardiologists in the treatment decision for percutaneous coronary intervention, maximizing the success rate of coronary intervention."
8,38077711,"coronary cameral fistula (ccf) is defined as an abnormal connection between the coronary artery and any cardiac chamber. it usually appears due to abnormal embryogenesis and represents less than 1% of the population. most ccf cases are asymptomatic, however large ccfs may cause symptoms and complications. we present a case of a young female with symptomatic ccf suspected on echocardiography and confirmed by computed tomography coronary angiography. she was successfully treated surgically with total improvement of symptoms."
9,38076346,"spontaneous coronary artery dissection (scad) is a relatively rare condition affecting predominantly young adults, with a prevalence of female sex. the best management of scad is still unclear and not adequately evidence-based both in the acute phase but especially over the long-term. we therefore aimed to evaluate the impact of medical therapy usually adopted for coronary artery disease on long-term outcome in scad patients."
