,pubmed,abstract
0,38088191,"in recent decades, the patient survival is increased due to advances in intensive care units and development of modern mechanic ventilators. unfortunately, it is not always possible to wean these children from mechanical ventilation. recently, after placement a tracheostomy tube, these children can be supported at home with noninvasive or invasive mechanical ventilation. most of the children who need ventilation support at home have neurological impairment. the nutritional issues and gastrointestinal (gi) complications are well defined in critically ill patients, but there are very limited studies on children with tracheostomy. considering that majority of the patients have neuromuscular disorders, the nutritional and gi problems of the children with tracheostomy are discussed in light of the knowledge of critically ill patients."
1,38088115,"objective    the prognostic nutritional index (pni) is a practical, applicable, prognostic scoring system. however, its clinical significance in unprotected left main coronary artery (ulmca) patients undergoing percutaneous coronary intervention (pci) has not yet been clarified. this study aimed to examine the relationship between malnutrition as assessed by pni and major adverse cardiac events (mace) in ulmca patients undergoing pci.material and methods    185 patients who were hospitalized in our clinic underwent coronary angiography, had a critical lmca lesion, and underwent angiography-guided pci were included. the study population was divided into tertiles based on the pni values. a high pni (n=142) was defined as a value in the third tertile (≥ 34.0), and a low pni (n=43) was defined as a value in the lower 2 tertiles (&lt; 34.0). the primary endpoint was mace.results    mace and mortality rates in the low pni group were significantly higher compared to the high pni group (51 % vs. 30 %, p=0.009; 44 % vs. 20 %, p=0.002, respectively). high pni (hr:1.902; 95 % ci:1.112-3.254; p=0.019), previous stroke (hr:3.025; 95 % ci:1.038-8.810; p=0.042) and syntax score (hr:1.028; 95 % ci:1.004-1.057, p=0.023) were independent predictors of mace in the multivariable cox regression analyzes.conclusions    in patients undergoing ulmca pci, nutritional status can be considered an indicator of mace rates by evaluating the pni score. this index can be used for risk classification."
2,38088063,"the origins of alzheimer's disease (ad) and parkinson's disease (pd) involve genetic mutations, epigenetic changes, neurotoxin exposure and gut microbiota dysregulation. the gut microbiota's dynamic composition and its metabolites influence intestinal and blood-brain barrier integrity, contributing to ad and pd development. this review explores protein misfolding, aggregation and epigenetic links in ad and pd pathogenesis. it also highlights the role of a leaky gut and the microbiota-gut-brain axis in promoting these diseases through inflammation-induced epigenetic alterations. in addition, we investigate the potential of diet, probiotics and microbiota transplantation for preventing and treating ad and pd via epigenetic modifications, along with a discussion related to current challenges and future considerations. these approaches offer promise for translating research findings into practical clinical applications."
3,38087996,orofacial function is believed to influence an individual's diet. knowledge on appetite and enjoyment of eating in orofacially impaired individuals is scarce.
4,38087937,"frailty is a key element in healthy ageing in which muscle performance plays a main role. beta-hydroxy-beta-methylbutyrate (hmb) supplementation has shown favourable effects in modulating protein synthesis, improving muscle mass and function in interventional studies. decreased age-related endogenous hmb levels have been shown in previous studies. the aim of the present study is to assess whether there is an association between endogenous plasma hmb levels and frailty."
5,38087927,"balanced energy protein (bep) supplementation is an efficacious intervention in pregnancy for improving birthweight and is recommended by world health organization (who) in countries with high maternal undernutrition. few countries have implemented bep programmes due in part to high cost, lack of data on acceptability and feasibility, and complexity of delivery. we sought to address implementation gaps in bep interventions through a formative study designed to understand implementation outcomes. we conducted 52 in-depth interviews and 8 focus-group discussions with married women of reproductive age, family members, health care providers and pharmacists in three unions of the gaibandha district in rural bangladesh. interviews were translated and transcribed in english and analysed using an analytic framework for implementation science in nutrition. bep was viewed as an acceptable and appropriate intervention to combat undernutrition in this setting. there was a lack of clarity on who should or could be responsible for providing/distributing bep in a way convenient to mothers. many participants preferred door-to-door delivery and thought this approach could address social and gender inequities, but providers mentioned already being overworked and worried about adding new tasks. participants were concerned about the affordability of bep and opportunity costs associated with travel to proposed distribution sites such as anc or pharmacies. women in these communities do not always have the agency to travel without supervision or make purchasing decisions. bep supplementation is a complex intervention; future trials seek to assess ways to overcome these implementation challenges and inform a long-term systems-owned bep intervention."
6,38087858,"this study evaluated whether food insecurity (u.s. adult food security survey) was associated with chronic pain (≥3 months) and high-impact chronic pain (i.e., pain that limits work and life) among united states (u.s.) adults."
7,38087805,"sickle cell disease (scd) is associated with high rates of undernutrition and stunting. undernutrition in combination with chronic haemolysis may lead to deficiencies in micronutrients necessary for erythropoiesis. here we examined selected levels of ferritin, vitamins b<sub>2</sub> , b<sub>6</sub> , b<sub>9</sub> and b<sub>12</sub> , and vitamin c that were measured in blood samples from 820 scd patients from tanzania with no history of hospital admission, infections or painful episodes in the previous 30 days. we studied children (0-8 years), early adolescents (9-14 years), late adolescents (15-17 years) and adults (≥18 years). severely low levels of vitamin b<sub>12</sub> were observed across the four age groups. despite the lowered vitamin b<sub>12</sub> concentrations, total homocysteine concentrations were normal across both genders in all age groups. we found no significant gender-related differences between the other measured micronutrients. in this large scd population, spanning the whole life cycle, a low level of vitamin b<sub>12</sub> was consistently found across both genders and all age groups. given the pivotal role of vitamin b<sub>12</sub> in cellular metabolism, particularly in erythropoiesis, more studies are required to unravel how to better detect clinically relevant vitamin b<sub>12</sub> deficiency among scd patients, and thus to identify more precisely those who need supplementation of vitamin b<sub>12</sub> ."
8,38068870,"nutrition-related chronic diseases are a major problem among indigenous populations. appropriate dietary intake assessment tools are needed for nutritional surveillance and intervention; however, tools designed to measure the habitual dietary intake of indigenous persons are largely lacking. we developed a digital food frequency questionnaire (ffq) to measure habitual consumption among australian aboriginal adults and support personalized nutrition counseling. the primary contributors to energy, select nutrients, and inter-person variation (83 food groups) were identified from nationally representative 24 h recall (24hr) data, and they accounted for >80% of the total intake and inter-person variation of the nutrients of interest. based on community input, a meal-based ffq format was adopted, with a main food/beverage list of 81 items and the capacity to report on >300 additional items via the digital platform. the nutrient database was based on the australian food and nutrient database. data for the first 60 study participants (70% female; median age: 48 years) were used to assess the ffq's utility. the participants' median [iqr] reported energy intake (10,042 [6968-12,175] kj/day) was similar to their median [iqr] estimated energy expenditure (10,197 [8636-11,551] kj/day). foods/beverages on the main ffq list accounted for between 66% and 90% of the participants' reported energy and nutrient intakes; the remainder came from participant-selected extra items. the digital ffq platform provides a potentially valuable resource for monitoring habitual dietary intake among aboriginal adults and supporting chronic disease prevention and management interventions."
9,38057780,"those experiencing houselessness rely on obtaining food from community organizers and donations. simultaneously, the houseless face disproportionally high rates of medical conditions that may be affected by diet including diabetes, hypertension, and hyperlipidemia. there is limited literature on the resources and barriers of the houseless community regarding optimal nutrition from an actionable perspective. further, less data is available on how street medicine organizations may best impact the nutrition of the unhoused they serve. elucidating this information will inform how organizational efforts may best support the nutrition of the houseless community."
