,pubmed,abstract
0,38087772,"<b>purpose:</b> influenza vaccination of person living with hiv (plwh) is a powerful means to tackle severe clinical outcomes. few data on two doses of influenza vaccine in plwh are available.<b>research design:</b> to evaluate the immunogenicity and safety of two doses of vaccine as compared with single dose in plwh, we searched pubmed, embase, and web of science databases for relevant articles (january 2009 to april 2023). pooled smd or rr and 95% ci were calculated.<b>results:</b> a total of 2436 participants from 14 studies were included. compared to single dose influenza vaccine regimen, the pooled rr of seroprotection and seroconversion for two doses of vaccines was 1.14 (95%ci: 1.08-1.21) and 1.25 (95%ci: 1.16-1.34), respectively; the smd of gmt was 0.42 (95%ci: 0.35, 0.49). regarding safety, the fever risk in plwh receiving two doses of vaccine was 3.42 fold higher than that of single dose vaccine, and the risk of myalgia had a quarter reduction. no serious vaccine-related adverse events were reported.<b>conclusions:</b> collectively, two doses of the vaccine are associated with a better immunogenicity and an acceptable safety in plwh. two doses of the adjuvant vaccination might be a superior vaccination regimen.nation regimen."
1,38087479,"hepatitis a is a common cause of acute infectious hepatitis in children, transmitted through the faeco-oral route. although mostly self-limiting, cholestasis is a rare but known complication of acute hepatitis a in children. this report presents an adolescent girl who developed cholestatic features following hepatitis a infection and successful treatment with oral steroid therapy. prolonged cholestasis jaundice (pcj) is a known manifestation of hepatitis a infection, characterised by prolonged fever, pruritus and jaundice. while the exact mechanisms causing pcj are not fully understood, immunological-mediated responses could play a role. treatment options for pcj are limited, and there is no currently accepted standard of care. steroids have shown promise in treating pcj, as observed in this case and a few other reported cases. when other therapies fail to alleviate symptoms, corticosteroids should be considered as a potential treatment option. however, further studies are required to conclusively establish their efficacy."
2,38087466,"the female mosquito is endowed with the responsibility of gene transfer from one generation to another through careful delivery of her eggs to an appropriate environment. to guarantee a successful reproduction process, female mosquitoes use an evaluative approach to select an oviposition site that will ensure that their progeny successfully hatch and develop from larvae to pupa to adult. specific conditions must be met during oviposition site selection before gravid females deposit eggs, including but not limited to appropriate temperature, salinity, and ph; the presence of nutrition; and a low risk of predation. mosquito species exhibit a remarkable diversity in their oviposition site selection behaviors. for instance, <i>aedes aegypti</i>, which is a vector for zika, dengue, yellow fever, and chikungunya viruses, prefers to lay its eggs in natural depressions (e.g., tree holes) or artificial containers. in contrast, other mosquito species, like <i>anopheles</i>, gravitate toward more open water bodies. understanding the oviposition preference behavior of the <i>ae. aegypti</i> mosquito will facilitate the development of surveillance and control efforts to hinder the successful progression of this vector. here, we present information on some of the known behaviors and preferences of <i>ae. aegypti</i> during oviposition site selection, techniques to measure these preferences, and some open questions."
3,38087434,"listeriosis is caused by the bacterium, listeria monocytogenes, and is a significant health concern because of high hospitalization and mortality rates. this study reports seven cases of pregnancy-associated listeriosis diagnosed with matrix-assisted laser desorption ionization-time of flight (maldi-tof) mass spectrometry performed on infection-positive blood culture."
4,38087355,"lymphocytic choriomeningitis virus (lcmv) is a human pathogen naturally present in wild rodents. in addition, lcmv is routinely used in immunology research as a model of viral infection in mice. the armstrong common laboratory strain and the clone-13 variant induce acute and chronic infections in mice, respectively. the frequent use of this virus in laboratory settings is associated with a risk of human infection for laboratory personnel. in contrast to lcmv clone-13, few human laboratory infections with lcmv armstrong have been reported, leading to a poor understanding of symptoms related to infection with this specific lcmv strain."
5,38087298,"high-altitude pulmonary edema (hape) is a serious life-threatening disease that occurs after rapid ascent to high altitude; its main early-stage presentations include fatigue, headache, low-grade fever, dyspnea, and cough. x-ray and computed tomography (ct) images show pulmonary shadows and patches, which may be localized (initial right lung field predomination) or generalized to the bilateral lung base."
6,38087220,"teucrium hyrcanicum l. (family lamiaceae) is widely distributed in the north and northwest of iran. it has been used in the form of tea, tonic, and tincture for the treatment of various diseases such as cough, rheumatism, and fever."
7,38087059,"familial mediterranean fever (fmf) is a prototypical autoinflammatory syndrome associated with phagocytic cell activation. pyrin mutations are the genetic basis of this disease, and its expression has been shown in monocytes, granulocytes, dendritic cells, and synovial fibroblasts. pyrin functions as a cytosolic pattern recognition receptor and forms a distinct pyrin inflammasome. the phagocyte-specific protein s100a12 is predominantly expressed in granulocytes and belongs to the group of damage associated molecular patterns (damp). s100a12 can be detected at massively elevated levels in the serum of fmf patients, even in clinically inactive disease. whether this is crucial for fmf pathogenesis is as yet unknown, and we therefore investigated the mechanisms of s100a12 release from granulocytes of fmf patients presenting clinically inactive."
8,38086575,"peripancreatic tuberculosis (ptb) is a very rare variant of tuberculosis and its clinical and radiological findings are similar to those of pancreatic malignancy. diagnosis of ptb is usually incidental and is made after surgical resection. we are presenting a male patient who had complaints of prolonged fever, significant weight loss and yellowish discolouration of eyes and dark-coloured urine. investigations revealed that there was a pancreatic mass causing obstructive jaundice. however, the aetiology of the mass, whether tubercular or malignant, was not clear. hence, the patient was planned for endoscopic ultrasound-guided fine needle aspiration cytology. cytology and aspirate were sent for a cartridge-based nucleic acid amplification test which revealed the presence of <i>mycobacterium tuberculosis</i>, sensitive to rifampicin. the patient improved completely after treatment with antitubercular therapy."
9,38086573,"contrast-enhanced ct is the gold standard for the diagnosis of acute focal bacterial nephritis (afbn). however, owing to radiation exposure and the possibility of contrast agent-induced side effects, contrast-enhanced ct is not always recommended for children. a paediatric patient presenting with a 1-week history of fever was admitted to our hospital. after a urine culture detected <i>escherichia coli</i>, antimicrobials were administered; however, the fever had not resolved by the third day of hospitalisation. renal diffusion-weighted mri was performed and showed multiple wedge-shaped areas of high signal intensity in the right kidney. additionally, the same site showed an area of low signal intensity in the apparent diffusion coefficient, and a diagnosis of afbn with abscess was made. a chronic-phase technetium-99m-labelled dimercaptosuccinic acid renal scintigraphy was performed, but there was no renal scarring. mri may be a more suitable tool for diagnosing afbn given no radiation exposure."
